Digits	Runtime (seconds)  
50	0.0  
100	0.0  
500	0.0009996891021728516  
1000	0.0  
5000	0.003999471664428711  
10000	0.007999897003173828  
50000	0.03800010681152344  
100000	0.07600021362304688  
Digits	Runtime (seconds)  
50	0.0009999275207519531  
100	0.0  
500	0.0  
1000	0.0010004043579101562  
5000	0.003999471664428711  
10000	0.014003992080688477  
50000	0.04199695587158203  
100000	0.08400082588195801  
Digits	Runtime (seconds)  
50	0.0  
100	0.0  
500	0.0  
1000	0.0010025501251220703  
5000	0.005017280578613281  
10000	0.010984420776367188  
50000	0.04399824142456055  
100000	0.08302855491638184  
Digits	Runtime (seconds)  
50	0.0  
100	0.0  
500	0.0009891986846923828  
1000	0.0010020732879638672  
5000	0.0059947967529296875  
10000	0.014012336730957031  
50000	0.05698871612548828  
100000	0.08700180053710938  
Digits	Runtime (seconds)  
50	0.0  
100	0.0  
500	0.001001119613647461  
1000	0.0009996891021728516  
5000	0.0050051212310791016  
10000	0.011009931564331055  
50000	0.04598569869995117  
100000	0.08301448822021484  
